Data,Ano,Mes,Dia,Mes_Nome,Mes_Nome_Completo,Ano_Mes,Ano_Mes_Label,Dia_Semana,Dia_Semana_Abrev,Dia_Semana_Num,Semana_ISO,Semana_Inicio,Semana_Label,Loja,Canal,Valor
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,CASA,11344.46
2025-01-09,2025,1,9,Jan,Janeiro,2025-01,Jan/2025,Quinta,Qui,4,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,DELIVERY,626.6
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,CARINAS,CASA,35714.71
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,CARINAS,DELIVERY,1042.2
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,CASA,10322.02
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,DELIVERY,601.1
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,LAPA,CASA,16719.8
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,LAPA,DELIVERY,1121.0
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,CASA,8912.02
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,PAVÃO,DELIVERY,1267.93
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,CASA,9024.06
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,PERDIZES,DELIVERY,1461.2
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,SANTANA,CASA,38251.34
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,SANTANA,DELIVERY,528.7
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,SANTO ANDRÉ,CASA,90317.0
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,SANTO ANDRÉ,DELIVERY,246.0
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,CASA,18264.56
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,TATUAPÉ,DELIVERY,955.95
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,VILA MADALENA,CASA,13996.92
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,VILA MADALENA,DELIVERY,400.7
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,CASA,20212.04
2025-01-10,2025,1,10,Jan,Janeiro,2025-01,Jan/2025,Sexta,Sex,5,2,2025-01-06,06/01 - 12/01/2025,VILA MARIANA,DELIVERY,800.7
2025-01-11,2025,1,11,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,2,2025-01-06,06/01 - 12/01/2025,CARINAS,CASA,196952.96
2025-01-11,2025,1,11,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,2,2025-01-06,06/01 - 12/01/2025,CARINAS,DELIVERY,2223.7
2025-01-11,2025,1,11,Jan,Janeiro,2025-01,Jan/2025,Sábado,Sáb,6,2,2025-01-06,06/01 - 12/01/2025,CHÁCARA,CASA,28668.33
